Date,DesignBuilder,Model,Error,Abs_Error,Pct_Error,Abs_Pct_Error,Year,Month_No,Month
2020-04-09,2946.826593,3700.962262,754.1356690000002,754.1356690000002,25.591450504464763,25.591450504464763,2020,4,2020-04
2020-04-10,2809.319338,4067.080447,1257.761109,1257.761109,44.77102663221692,44.77102663221692,2020,4,2020-04
2020-04-11,2921.69606,3923.703093,1002.0070329999999,1002.0070329999999,34.29538913092828,34.29538913092828,2020,4,2020-04
2020-04-12,3328.566474,4237.11119,908.5447159999994,908.5447159999994,27.295375444558402,27.295375444558402,2020,4,2020-04
2020-04-13,3505.344848,3567.66535,62.32050200000003,62.32050200000003,1.777870785967248,1.777870785967248,2020,4,2020-04
2020-04-14,3204.358124,4067.941802,863.583678,863.583678,26.950285972467665,26.950285972467665,2020,4,2020-04
2020-04-15,2678.877528,4700.657585,2021.780057,2021.780057,75.47116416738257,75.47116416738257,2020,4,2020-04
2020-04-16,3255.074541,4390.004852,1134.930311,1134.930311,34.86649220178335,34.86649220178335,2020,4,2020-04
2020-04-17,3492.592661,4323.379353,830.7866920000001,830.7866920000001,23.78710524353358,23.78710524353358,2020,4,2020-04
2020-04-18,3012.05119,4222.850195,1210.7990049999999,1210.7990049999999,40.19848696528958,40.19848696528958,2020,4,2020-04
2020-04-19,2784.409286,4628.976089,1844.5668029999997,1844.5668029999997,66.24625238374527,66.24625238374527,2020,4,2020-04
2020-04-20,3527.530434,4641.553791,1114.0233570000005,1114.0233570000005,31.580829076980276,31.580829076980276,2020,4,2020-04
2020-04-21,3086.019629,4868.227815,1782.2081860000003,1782.2081860000003,57.75103208198033,57.75103208198033,2020,4,2020-04
2020-04-22,2946.092477,4842.966732,1896.8742549999997,1896.8742549999997,64.38610701492924,64.38610701492924,2020,4,2020-04
2020-04-23,3099.763305,5399.48516,2299.7218550000002,2299.7218550000002,74.19024063193756,74.19024063193756,2020,4,2020-04
2020-04-24,3247.459715,5740.514449,2493.0547340000003,2493.0547340000003,76.76938138707598,76.76938138707598,2020,4,2020-04
2020-04-25,3657.32866,5549.645561,1892.3169010000001,1892.3169010000001,51.74041156585582,51.74041156585582,2020,4,2020-04
2020-04-26,3831.095386,5314.405096,1483.3097100000005,1483.3097100000005,38.71763974920776,38.71763974920776,2020,4,2020-04
2020-04-27,4518.247795,5137.14269,618.8948949999995,618.8948949999995,13.697674919133101,13.697674919133101,2020,4,2020-04
2020-04-28,4258.056263,5804.187133,1546.13087,1546.13087,36.31071959839907,36.31071959839907,2020,4,2020-04
2020-04-29,4395.6033,5459.919895,1064.3165950000002,1064.3165950000002,24.213208571392244,24.213208571392244,2020,4,2020-04
2020-04-30,4151.56918,4629.077238,477.50805799999944,477.50805799999944,11.501869228155302,11.501869228155302,2020,4,2020-04
2020-05-01,3782.196552,4364.128621,581.932069,581.932069,15.386087449428778,15.386087449428778,2020,5,2020-05
2020-05-02,3189.013419,4352.352351,1163.3389320000006,1163.3389320000006,36.47958723123832,36.47958723123832,2020,5,2020-05
2020-05-03,2579.653749,4194.825795,1615.1720459999997,1615.1720459999997,62.611970564891486,62.611970564891486,2020,5,2020-05
2020-05-04,4178.564356,4461.83436,283.270004,283.270004,6.779122681053186,6.779122681053186,2020,5,2020-05
2020-05-05,3544.709964,3963.137129,418.42716500000006,418.42716500000006,11.8042708500706,11.8042708500706,2020,5,2020-05
2020-05-06,3343.298185,5016.466898,1673.1687129999996,1673.1687129999996,50.04545273606815,50.04545273606815,2020,5,2020-05
2020-05-07,3504.077128,3916.539723,412.46259499999996,412.46259499999996,11.770933684767911,11.770933684767911,2020,5,2020-05
2020-05-08,3496.80818,4621.65862,1124.8504400000002,1124.8504400000002,32.16791948822312,32.16791948822312,2020,5,2020-05
2020-05-09,3833.377621,4952.347525,1118.969904,1118.969904,29.19018199172609,29.19018199172609,2020,5,2020-05
2020-05-10,3674.490762,5276.047039,1601.5562770000001,1601.5562770000001,43.58580224401719,43.58580224401719,2020,5,2020-05
2020-05-11,4440.395061,4761.698355,321.3032940000003,321.3032940000003,7.235916840418273,7.235916840418273,2020,5,2020-05
2020-05-12,3955.546912,5620.049166,1664.502254,1664.502254,42.0802051152617,42.0802051152617,2020,5,2020-05
2020-05-13,3890.493321,5199.485347,1308.992026,1308.992026,33.64591371830297,33.64591371830297,2020,5,2020-05
2020-05-14,4288.915702,5117.872372,828.9566699999996,828.9566699999996,19.327884425740564,19.327884425740564,2020,5,2020-05
2020-05-15,4860.27499,5085.983231,225.70824100000027,225.70824100000027,4.643939724900221,4.643939724900221,2020,5,2020-05
2020-05-16,5964.88137,4852.224439,-1112.6569310000004,1112.6569310000004,-18.653462860066913,18.653462860066913,2020,5,2020-05
2020-05-17,4282.42296,5333.569882,1051.146922,1051.146922,24.545611954219485,24.545611954219485,2020,5,2020-05
2020-05-18,4023.4205,5801.615647,1778.1951469999995,1778.1951469999995,44.19610495596966,44.19610495596966,2020,5,2020-05
2020-05-19,4207.15399,5669.654275,1462.500285,1462.500285,34.762223785395605,34.762223785395605,2020,5,2020-05
2020-05-20,5096.90587,5317.666223,220.76035300000058,220.76035300000058,4.331262115303703,4.331262115303703,2020,5,2020-05
2020-05-21,4579.99935,7172.190727,2592.191377,2592.191377,56.598073032477615,56.598073032477615,2020,5,2020-05
2020-05-22,4205.94889,7567.229136,3361.2802460000003,3361.2802460000003,79.91728701201598,79.91728701201598,2020,5,2020-05
2020-05-23,4099.04841,7470.099328,3371.050918,3371.050918,82.23984156361792,82.23984156361792,2020,5,2020-05
2020-05-24,3755.176206,7449.530029,3694.3538229999995,3694.3538229999995,98.38030548598974,98.38030548598974,2020,5,2020-05
2020-05-25,3341.541673,7959.430187,4617.888514,4617.888514,138.19634665379198,138.19634665379198,2020,5,2020-05
2020-05-26,4182.283535,6654.522097,2472.2385620000005,2472.2385620000005,59.112170213012604,59.112170213012604,2020,5,2020-05
2020-05-27,4077.53319,7743.515131,3665.981941,3665.981941,89.90685716527545,89.90685716527545,2020,5,2020-05
2020-05-28,3968.378666,7685.85668,3717.478014,3717.478014,93.6775022467072,93.6775022467072,2020,5,2020-05
2020-05-29,4196.37261,8266.023418,4069.6508080000003,4069.6508080000003,96.98020614999677,96.98020614999677,2020,5,2020-05
2020-05-30,4403.4344,7500.068737,3096.6343369999995,3096.6343369999995,70.32316268865047,70.32316268865047,2020,5,2020-05
2020-05-31,3973.838351,8037.380957,4063.5426060000004,4063.5426060000004,102.2573705087281,102.2573705087281,2020,5,2020-05
2020-06-01,4121.5831,7704.09734,3582.5142400000004,3582.5142400000004,86.92083000825582,86.92083000825582,2020,6,2020-06
2020-06-02,4914.86281,7278.574817,2363.712007,2363.712007,48.09314315326739,48.09314315326739,2020,6,2020-06
2020-06-03,4893.0069,7344.029819,2451.022919,2451.022919,50.09236588241885,50.09236588241885,2020,6,2020-06
2020-06-04,4386.77995,8301.679634,3914.899684,3914.899684,89.24312886950257,89.24312886950257,2020,6,2020-06
2020-06-05,4358.76346,7865.73581,3506.97235,3506.97235,80.45796433284774,80.45796433284774,2020,6,2020-06
2020-06-06,4329.8692,8303.667396,3973.7981960000006,3973.7981960000006,91.7764027606192,91.7764027606192,2020,6,2020-06
2020-06-07,4120.74993,7975.071849,3854.321919,3854.321919,93.53447757020285,93.53447757020285,2020,6,2020-06
2020-06-08,4204.38474,7976.477448,3772.092707999999,3772.092707999999,89.71806676284338,89.71806676284338,2020,6,2020-06
2020-06-09,4469.40956,8183.38817,3713.97861,3713.97861,83.09774613718776,83.09774613718776,2020,6,2020-06
2020-06-10,4626.55087,7805.255997,3178.705127,3178.705127,68.70572087754869,68.70572087754869,2020,6,2020-06
2020-06-11,4867.66039,8068.17797,3200.5175799999997,3200.5175799999997,65.75063425901821,65.75063425901821,2020,6,2020-06
2020-06-12,5088.8642,8439.019575,3350.1553750000003,3350.1553750000003,65.83306693466099,65.83306693466099,2020,6,2020-06
2020-06-13,5039.5391,8983.252634,3943.7135340000004,3943.7135340000004,78.25544074060265,78.25544074060265,2020,6,2020-06
2020-06-14,4328.62472,8062.72047,3734.0957500000004,3734.0957500000004,86.26517639071287,86.26517639071287,2020,6,2020-06
2020-06-15,4281.50711,7670.961344,3389.4542340000007,3389.4542340000007,79.16497968865923,79.16497968865923,2020,6,2020-06
2020-06-16,4885.90814,8272.388795,3386.480655000001,3386.480655000001,69.3111814214338,69.3111814214338,2020,6,2020-06
2020-06-17,5283.64498,8256.128822,2972.4838420000005,2972.4838420000005,56.25820533460597,56.25820533460597,2020,6,2020-06
2020-06-18,5212.764,8208.097643,2995.333642999999,2995.333642999999,57.461524116572306,57.461524116572306,2020,6,2020-06
2020-06-19,4994.32888,9334.925952,4340.597072,4340.597072,86.91051743472687,86.91051743472687,2020,6,2020-06
2020-06-20,4538.6994,8778.373123,4239.673722999999,4239.673722999999,93.41164393923067,93.41164393923067,2020,6,2020-06
2020-06-21,4287.63577,8405.351742,4117.715972000001,4117.715972000001,96.03698151813863,96.03698151813863,2020,6,2020-06
2020-06-22,4387.50064,8276.139024,3888.638384,3888.638384,88.62992174970941,88.62992174970941,2020,6,2020-06
2020-06-23,4505.55323,8706.863114,4201.309883999999,4201.309883999999,93.24736984629963,93.24736984629963,2020,6,2020-06
