Month,Year,Month_No,Days,DesignBuilder_kWh,Model_kWh,Error_kWh,Monthly_Pct_Error,Monthly_Abs_Pct_Error,Daily_MAPE_pct,DesignBuilder_MWh,Model_MWh,Error_MWh
2021-09,2021,9,30,152918.3266,76969.485259,-75948.841341,-49.666278090830225,49.666278090830225,49.45102729341544,152.9183266,76.969485259,-75.948841341
2021-10,2021,10,31,122923.79255,68353.6213,-54570.17125,-44.393497888379294,44.393497888379294,43.104339380421244,122.92379255,68.3536213,-54.57017125
2021-11,2021,11,30,105867.602382,102983.34856,-2884.2538219999988,-2.7243970365861334,2.7243970365861334,19.521115616345337,105.867602382,102.98334856,-2.884253821999999
2021-12,2021,12,31,123215.943561,124675.186927,1459.2433660000097,1.1842975217550384,1.1842975217550384,19.445570267842612,123.21594356099999,124.675186927,1.4592433660000097
2022-01,2022,1,31,137722.53757000001,94669.694611,-43052.842959000016,-31.26056469669506,31.26056469669506,29.418313575721093,137.72253757000001,94.669694611,-43.05284295900002
2022-02,2022,2,28,135273.222389,84997.025485,-50276.196904,-37.16640737619355,37.16640737619355,33.0975735873706,135.273222389,84.99702548500001,-50.276196903999995
2022-03,2022,3,31,127216.568825,104280.436786,-22936.13203899999,-18.0292018962963,18.0292018962963,22.310322714566897,127.216568825,104.28043678600001,-22.93613203899999
2022-04,2022,4,30,106361.228219,132878.862933,26517.634714,24.931674030126498,24.931674030126498,32.37550096279857,106.361228219,132.878862933,26.517634714
2022-05,2022,5,31,122440.012292,182601.421002,60161.40870999999,49.13541544452362,49.13541544452362,50.83840587453963,122.440012292,182.601421002,60.16140870999999
2022-06,2022,6,30,138907.15322,246978.47507,108071.32184999998,77.80112063691746,77.80112063691746,78.97421162047684,138.90715322,246.97847506999997,108.07132184999998
2022-07,2022,7,31,162329.16258,244341.331843,82012.16926299999,50.52214152991904,50.52214152991904,52.41128280820495,162.32916258,244.341331843,82.01216926299999
2022-08,2022,8,31,180864.77578,176775.133203,-4089.6425769999914,-2.2611603389122847,2.2611603389122847,11.313351223597047,180.86477578,176.775133203,-4.089642576999991
2022-09,2022,9,30,152805.15645,77051.369273,-75753.787177,-49.57541285708359,49.57541285708359,49.375673771822385,152.80515645,77.051369273,-75.753787177
2022-10,2022,10,31,123700.140464,67609.305123,-56090.835341,-45.344196967443146,45.344196967443146,44.445317103561536,123.700140464,67.609305123,-56.090835340999995
2022-11,2022,11,30,106014.954717,102612.645506,-3402.309211,-3.2092728993586257,3.2092728993586257,18.910988721103607,106.014954717,102.612645506,-3.402309211
2022-12,2022,12,31,122362.142162,124280.66775000001,1918.525588000004,1.567907813725583,1.567907813725583,21.00283100831981,122.362142162,124.28066775,1.918525588000004
2023-01,2023,1,31,138396.520576,94580.750127,-43815.770449,-31.659589610086126,31.659589610086126,30.312524253694665,138.396520576,94.580750127,-43.815770449000006
2023-02,2023,2,28,136115.670948,84997.025485,-51118.64546300001,-37.55529771625543,37.55529771625543,32.322595896405,136.115670948,84.99702548500001,-51.11864546300001
2023-03,2023,3,31,126498.77387,104280.436786,-22218.337084,-17.564073076971713,17.564073076971713,20.344469880208955,126.49877387000001,104.28043678600001,-22.218337083999998
2023-04,2023,4,30,106294.105877,133307.308441,27013.202564000007,25.41364108679628,25.41364108679628,33.814186579770045,106.29410587699999,133.307308441,27.013202564000007
2023-05,2023,5,31,122807.90017000001,183210.690148,60402.789977999986,49.184775486256065,49.184775486256065,52.09730799841,122.80790017000001,183.210690148,60.40278997799999
2023-06,2023,6,30,138982.38195,247637.639055,108655.257105,78.17915881171872,78.17915881171872,79.20759239775147,138.98238195000002,247.637639055,108.655257105
2023-07,2023,7,31,162172.27475,245020.89501,82848.62026,51.08679667206801,51.08679667206801,53.383401034066374,162.17227475,245.02089501,82.84862025999999
2023-08,2023,8,31,182102.02204,177379.660092,-4722.361948000005,-2.593250692714826,2.593250692714826,10.9630696808749,182.10202204,177.379660092,-4.722361948000005
2023-09,2023,9,30,152397.29705,77133.253285,-75264.043765,-49.38673140659879,49.38673140659879,49.22304274933008,152.39729705,77.133253285,-75.264043765
2023-10,2023,10,31,124358.812354,67561.325993,-56797.48636099999,-45.67226502559399,45.67226502559399,44.915935547707946,124.358812354,67.56132599300001,-56.79748636099999
2023-11,2023,11,30,105752.603691,102242.173857,-3510.429833999995,-3.3194736691847027,3.3194736691847027,19.460693047055837,105.75260369099999,102.242173857,-3.510429833999995
2023-12,2023,12,31,124269.554798,123886.398479,-383.15631900000153,-0.3083267817470028,0.3083267817470028,24.39233267899094,124.269554798,123.886398479,-0.3831563190000015
2024-01,2024,1,31,136887.26687700002,94491.86194,-42395.404937000014,-30.971036170292145,30.971036170292145,28.525828399906576,136.88726687700003,94.49186194,-42.395404937000016
